순위_1개월박스	분류	로케이션	제품명	바코드
441	와이드 서랍장	320-A1-1-720	보노하우스 가든 라탄 와이드 2단 서랍장 크림 1개	R011670360002
442	리빙박스 로코스	320-A1-1-287	보노하우스 반투명 라운드 리빙박스 L4개 투명 1팩	R010979450001
443	슬림서랍장	320-A1-1-235	슬림 서랍장 4단 아이보리	R000695390013
444	북 트롤리	320-A1-2-113	보노하우스 모던 북 트롤리 수납 정리함 모던블루 4단 1개	R016128090007
445	슬림서랍장	320-A1-1-251	보노 슬림서랍장 2단 화이트(바퀴포함)	R001475620004
446	핸들러 바스켓	320-A1-1-379	보노하우스 다용도 트레이  반투명 중형 8개	R012949320002
447	바지걸이	320-A1-1-997	보노하우스 스트롱 논슬립 바지걸이  블랙 30개	R212161690002
448	핸들러 바스켓	320-A1-1-278	보노하우스 리빙 그립 바스켓 와이드 8개 화이트 1팩	R012218910002
449	북 트롤리	320-A1-2-92	보노하우스 베이직 이동식 북 트롤리 모던핑크 3단 1개	R203810530016
450	북 트롤리	320-A1-2-91	보노하우스 베이직 이동식 북 트롤리 버터 3단 1개	R203810430006
451	슬림웨건	320-A1-1-377	보노하우스 이지 슬림 틈새 수납 트롤리 화이트 4단 1개	R222199290003
452	슬림웨건	320-A1-1-375	보노하우스 이지 슬림 틈새 수납 트롤리 화이트 3단 1개	R222199270001
453	핸들러 바스켓	320-A1-1-381	보노하우스 다용도 트레이  반투명 소형 4개	R012949320006
454	옷걸이	320-A1-1-316	보노하우스 목 늘림 방지 옷걸이 그레이 30개	R013337950007
455	리빙박스 로코스	320-A1-1-367	아이엠 리빙박스 수납정리함 S 네이비 2개	R006207930002
456	모던 플러스	320-A1-1-635	보노하우스 이노스 우드상판형 투명 서랍장 5단 화이트 오크1개	R011103150001
457	옷걸이	320-A1-1-357	국내제조 몽드 아동옷걸이 화이트 30개	R254631260007
458	거실화	320-A1-1-333	보노하우스 국내제조 에어리본 워셔블 거실화 핑크 1개 FREE	R254871020002
459	모던 플러스	320-A1-1-621	뉴모던플러스 우드형상판 5단 라임그린	R000150580030
460	에센셜	320-A1-1-916	보노하우스 세라비 우드상판 서랍장 화이트 7단 1개	R212660810010
461	에센셜	320-A1-1-917	보노하우스 세라비 우드상판 서랍장 라이트그레이 7단 1개	R212660830012
462	에센셜	320-A1-1-913	보노하우스 세라비 우드상판 서랍장 화이트 6단 1개	R212660730002
463	토이	320-A1-2-151	Box_80L 초대형 모던바스켓 네이비 6개	R000611050006
