barcode,skuId,productName,category,location,inventoryDate,currentStock,minStock,safetyStock,reorderPoint,maxStock,stockStatus,coverDays,outbound14dTotal,avgDailyOutbound14d,outbound30dTotal,avgDailyOutbound30d,lifecycleStatus
R243348770001,66219710,보노하우스 국내제조 템바보드 서랍장 화이트 1개 2단 562mm,모던 플러스,320-A1-1-33,2026-04-16,22,8,8,8,79,normal,7.70,40,2.86,79,2.63,active
R243348780002,66219711,보노하우스 국내제조 템바보드 서랍장 네이비 1개 2단 562mm,모던 플러스,320-A1-1-34,2026-04-16,5,1,1,1,11,normal,14.00,5,0.36,11,0.37,active
R243348800004,66219714,보노하우스 국내제조 템바보드 서랍장 그레이 1개 2단 562mm,모던 플러스,320-A1-1-35,2026-04-16,16,4,4,4,42,normal,11.20,20,1.43,42,1.40,active
R243348820006,66219716,보노하우스 국내제조 템바보드 서랍장 딥그린 1개 2단 562mm,모던 플러스,320-A1-1-36,2026-04-16,12,4,4,4,40,normal,7.64,22,1.57,40,1.33,active
R243348810005,66219715,보노하우스 국내제조 템바보드 서랍장 버터 1개 2단 562mm,모던 플러스,320-A1-1-37,2026-04-16,7,2,2,2,16,normal,10.89,9,0.64,16,0.53,active
R243348790003,66219713,보노하우스 국내제조 템바보드 서랍장 모던핑크 1개 2단 562mm,모던 플러스,320-A1-1-38,2026-04-16,15,3,3,3,32,normal,16.15,13,0.93,32,1.07,active
R245371620001,67816623,보노하우스 국내제조 템바보드 서랍장 6단 화이트 1개 6단 562 x 420 x 1172,모던 플러스,320-A1-1-39,2026-04-16,6,3,3,3,31,normal,5.25,16,1.14,31,1.03,active
R245371630002,67816624,보노하우스 국내제조 템바보드 서랍장 6단 그레이 1개 6단 562 x 420 x 1172,모던 플러스,320-A1-1-40,2026-04-16,5,1,1,1,7,normal,70.00,1,0.07,7,0.23,active
R000150580003,2125211,뉴모던플러스 3단 레인보우,모던 플러스,320-A1-1-20,2026-04-16,10,0,0,0,2,high,,0,0.00,2,0.07,active
R001022650001,4119304,001 코지 모던 체스트 3단 아이보리,모던 플러스,320-A1-1-21,2026-04-16,4,0,0,0,1,high,,0,0.00,1,0.03,active
R205228430004,41750344,보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 6단 1개,모던 플러스,320-A1-1-23,2026-04-16,22,4,4,4,35,normal,25.67,12,0.86,35,1.17,active
R205228400001,41750342,보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 5단 1개,모던 플러스,320-A1-1-24,2026-04-16,14,0,0,0,2,high,196.00,1,0.07,2,0.07,active
R205228410002,41750341,보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 4단 1개,모던 플러스,320-A1-1-25,2026-04-16,11,0,0,0,5,high,154.00,1,0.07,5,0.17,active
R205228420003,41750345,보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 3단 1개,모던 플러스,320-A1-1-26,2026-04-16,6,0,0,0,2,high,42.00,2,0.14,2,0.07,active
R205228440005,41750343,보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 2단 1개,모던 플러스,320-A1-1-27,2026-04-16,29,0,0,0,0,normal,,0,0.00,0,0.00,active
R240325740003,64528483,보노하우스 모던플러스 우드상판 서랍장 2단 티크 오크 1개 550 X 400 X 410mm,모던 플러스,320-A1-1-27,2026-04-16,6,0,0,0,4,high,42.00,2,0.14,4,0.13,active
R236660680001,62877303,보노하우스 모던플러스 서랍장 2단 화이트 2단 1개 550*400*432mm,모던 플러스,320-A1-1-28,2026-04-16,70,33,33,33,329,normal,7.48,131,9.36,329,10.97,active
R222633070010,54047054,보노하우스 라탄플러스 우드상판 서랍장 모던 화이트 5단 1개 562mm,모던 플러스,320-A1-1-10,2026-04-16,54,13,13,13,131,normal,13.03,58,4.14,131,4.37,active
R013022780003,26650597,보노하우스 템바보드 서랍장 4단 네이비,모던 플러스,320-A1-1-11,2026-04-16,10,2,2,2,24,normal,11.67,12,0.86,24,0.80,active
R007758550002,15029612,모던플러스 내츄럴오크 우드상판형 3단 서랍장,모던 플러스,320-A1-1-12,2026-04-16,24,9,9,9,91,normal,8.00,42,3.00,91,3.03,active
R222633010004,54047047,보노하우스 라탄플러스 우드상판 서랍장 모던 화이트 3단 1개 562mm,모던 플러스,320-A1-1-13,2026-04-16,44,5,5,5,49,normal,38.50,16,1.14,49,1.63,active
R013022310004,26647004,보노하우스 카밀라 템바보드 서랍장 3단 화이트,모던 플러스,320-A1-1-14,2026-04-16,28,10,10,10,100,normal,8.34,47,3.36,100,3.33,active
R000150580031,2125239,뉴모던플러스 5단 레인보우,모던 플러스,320-A1-1-15,2026-04-16,4,1,1,1,10,normal,9.33,6,0.43,10,0.33,active
1000000210576,441417,모던플러스 4단 서랍장 화이트,모던 플러스,320-A1-1-16,2026-04-16,4,2,2,2,18,normal,9.33,6,0.43,18,0.60,active
R000150580019,2125227,뉴모던플러스 4단 바이올렛,모던 플러스,320-A1-1-17,2026-04-16,4,0,0,0,2,high,,0,0.00,2,0.07,active
R000150580017,2125225,뉴모던플러스 4단 레인보우,모던 플러스,320-A1-1-18,2026-04-16,5,0,0,0,1,high,70.00,1,0.07,1,0.03,active
R000150580014,2125222,뉴모던플러스 우드형상판 3단 화이트,모던 플러스,320-A1-1-19,2026-04-16,15,1,1,1,13,high,70.00,3,0.21,13,0.43,active
R003750270003,10759700,모던플러스 내츄럴오크 우드상판형 5단,모던 플러스,320-A1-1-1,2026-04-16,96,36,36,36,361,normal,8.56,157,11.21,361,12.03,active
R000150580042,2125250,뉴모던플러스 우드형상판 5단 화이트,모던 플러스,320-A1-1-2,2026-04-16,75,30,30,30,305,normal,7.84,134,9.57,305,10.17,active
R013022860004,26650826,보노하우스 템바보드 서랍장 5단 화이트,모던 플러스,320-A1-1-3,2026-04-16,78,24,24,24,244,normal,12.70,86,6.14,244,8.13,active
R222633100013,54047058,보노하우스 라탄플러스 우드상판 서랍장 모던 화이트 6단 1개 562mm,모던 플러스,320-A1-1-4,2026-04-16,61,12,12,12,123,normal,17.43,49,3.50,123,4.10,active
R013022860003,26650825,보노하우스 템바보드 서랍장 5단 네이비,모던 플러스,320-A1-1-5,2026-04-16,30,4,4,4,39,normal,35.00,12,0.86,39,1.30,active
R013022860001,26650823,보노하우스 템바보드 서랍장 5단 모던핑크,모던 플러스,320-A1-1-6,2026-04-16,17,11,11,11,107,normal,4.76,50,3.57,107,3.57,active
R007758550001,15029611,모던플러스 내츄럴오크 우드상판형 4단 서랍장,모던 플러스,320-A1-1-7,2026-04-16,72,35,35,35,353,normal,5.51,183,13.07,353,11.77,active
R222633040007,54047050,보노하우스 라탄플러스 우드상판 서랍장 모던 화이트 4단 1개 562mm,모던 플러스,320-A1-1-8,2026-04-16,70,7,7,7,72,normal,36.30,27,1.93,72,2.40,active
R013022780004,26650598,보노하우스 템바보드 서랍장 4단 화이트,모던 플러스,320-A1-1-9,2026-04-16,46,13,13,13,131,normal,12.38,52,3.71,131,4.37,active
